<<<<<<< Updated upstream
"num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_fall_les","edad_fall_les","edad_m1","g_edad_fall_les","estado_implicado","tipo_vehi","color_vehi","casusa_acc"
23,1,"Enero","Domingo",22,"Zacapa","Río Hondo","Rural","Ignorado","Hombre","47","Mayor","45-49","Lesionado","Pick up","Azul","Colisiono"
24,1,"Enero","Domingo",22,"Zacapa","Río Hondo","Rural","Ignorado","Mujer","15","Menor","15-19","Lesionado","Pick up","Azul","Colisiono"
25,1,"Enero","Domingo",22,"Zacapa","Río Hondo","Rural","Ignorado","Hombre","15","Menor","15-19","Lesionado","Pick up","Azul","Colisiono"
26,1,"Enero","Domingo",17,"Escuintla","Escuintla","Rural","Ignorado","Mujer","32","Mayor","30-34","Lesionado","Pick up","Amarillo","Vuelco"
27,1,"Enero","Domingo",11,"Escuintla","Escuintla","Rural","Ignorado","Mujer","49","Mayor","45-49","Lesionado","Pick up","Ignorado","Vuelco"
28,1,"Enero","Domingo",11,"Escuintla","Escuintla","Rural","Ignorado","Hombre","16","Menor","15-19","Lesionado","Pick up","Ignorado","Vuelco"
29,1,"Enero","Domingo",11,"Escuintla","Escuintla","Rural","Ignorado","Hombre","17","Menor","15-19","Lesionado","Pick up","Ignorado","Vuelco"
30,1,"Enero","Domingo",11,"Escuintla","Escuintla","Rural","Ignorado","Mujer","10","Menor","Menosr de 15","Lesionado","Pick up","Ignorado","Vuelco"
31,1,"Enero","Domingo",12,"Suchitepéquez","Cuyotenango","Rural","Ignorado","Hombre","76","Mayor","55 y más","Lesionado","Pick up","Ignorado","Vuelco"
32,1,"Enero","Domingo",12,"Suchitepéquez","Cuyotenango","Rural","Ignorado","Mujer","17","Menor","15-19","Lesionado","Pick up","Ignorado","Vuelco"
33,1,"Enero","Domingo",12,"Suchitepéquez","Cuyotenango","Rural","Ignorado","Hombre","15","Menor","15-19","Lesionado","Pick up","Ignorado","Vuelco"
34,1,"Enero","Domingo",12,"Suchitepéquez","Cuyotenango","Rural","Ignorado","Mujer","14","Menor","Menosr de 15","Lesionado","Pick up","Ignorado","Vuelco"
35,1,"Enero","Domingo",12,"Suchitepéquez","Cuyotenango","Rural","Ignorado","Mujer","24","Mayor","20-24","Lesionado","Pick up","Ignorado","Vuelco"
36,1,"Enero","Domingo",12,"Suchitepéquez","Cuyotenango","Rural","Ignorado","Mujer","6","Menor","Menosr de 15","Lesionado","Pick up","Ignorado","Vuelco"
37,1,"Enero","Domingo",11,"Retalhuleu","San Sebastián","Rural","Ignorado","Hombre","27","Mayor","25-29","Lesionado","Pick up","Gris","Colisiono"
38,1,"Enero","Domingo",11,"Retalhuleu","San Sebastián","Rural","Ignorado","Hombre","43","Mayor","40-44","Lesionado","Automovil","Negro","Colisiono"
39,1,"Enero","Domingo",11,"Retalhuleu","San Sebastián","Rural","Ignorado","Mujer","40","Mayor","40-44","Lesionado","Automovil","Negro","Colisiono"
40,1,"Enero","Domingo",11,"Retalhuleu","San Sebastián","Rural","Ignorado","Mujer","16","Menor","15-19","Lesionado","Automovil","Negro","Colisiono"
41,1,"Enero","Domingo",11,"Retalhuleu","San Sebastián","Rural","Ignorado","Hombre","20","Mayor","20-24","Lesionado","Automovil","Negro","Colisiono"
42,1,"Enero","Domingo",19,"Quetzaltenango","San Francisco la Unión","Rural","Ignorado","Hombre","19","Mayor","15-19","Lesionado","Pick up","Rojo","Colisiono"
43,1,"Enero","Domingo",4,"Huehuetenango","Huehuetenango","Rural","Ignorado","Hombre","29","Mayor","25-29","Fallecido","Pick up","Negro","Vuelco"
44,1,"Enero","Domingo",15,"Huehuetenango","Huehuetenango","Rural","Ignorado","Hombre","24","Mayor","20-24","Fallecido","Pick up","Café","Colisiono"
45,1,"Enero","Domingo",15,"Huehuetenango","Huehuetenango","Rural","Ignorado","Hombre","21","Mayor","20-24","Lesionado","Pick up","Café","Colisiono"
46,1,"Enero","Domingo",6,"Huehuetenango","Huehuetenango","Rural","Ignorado","Hombre","29","Mayor","25-29","Fallecido","Pick up","Negro","Vuelco"
47,1,"Enero","Domingo",14,"Huehuetenango","Huehuetenango","Rural","Ignorado","Hombre","29","Mayor","25-29","Fallecido","Pick up","Negro","Vuelco"
48,1,"Enero","Domingo",13,"Baja Verapaz","San Jerónimo","Rural","Ignorado","Hombre","26","Mayor","25-29","Fallecido","Motocicleta","Negro","Choque"
49,1,"Enero","Domingo",13,"Baja Verapaz","San Jerónimo","Rural","Ignorado","Hombre","29","Mayor","25-29","Lesionado","Motocicleta","Negro","Choque"
50,1,"Enero","Domingo",17,"El Progreso","Guastatoya","Rural","Ignorado","Hombre","27","Mayor","25-29","Lesionado","Mototaxi","Rojo","Vuelco"
51,1,"Enero","Domingo",17,"El Progreso","Guastatoya","Rural","Ignorado","Mujer","17","Menor","15-19","Lesionado","Mototaxi","Rojo","Vuelco"
52,1,"Enero","Domingo",2,"Izabal","Puerto Barrios","Rural","Ignorado","Mujer","19","Mayor","15-19","Fallecido","Motocicleta","Ignorado","Colisiono"
53,1,"Enero","Domingo",2,"Petén","Poptún","Rural","Ignorado","Hombre","46","Mayor","45-49","Lesionado","Pick up","Ignorado","Vuelco"
54,1,"Enero","Domingo",14,"Solola","Sololá","Rural","Ignorado","Hombre","22","Mayor","20-24","Lesionado","Pick up","Rojo","Choque"
55,1,"Enero","Domingo",14,"Solola","Sololá","Rural","Ignorado","Hombre","17","Menor","15-19","Lesionado","Pick up","Rojo","Choque"
56,1,"Enero","Domingo",14,"Solola","Sololá","Rural","Ignorado","Hombre","18","Mayor","15-19","Lesionado","Pick up","Rojo","Choque"
57,1,"Enero","Domingo",14,"Solola","Sololá","Rural","Ignorado","Mujer","18","Mayor","15-19","Lesionado","Pick up","Rojo","Choque"
58,1,"Enero","Domingo",14,"Solola","Sololá","Rural","Ignorado","Hombre","14","Menor","Menosr de 15","Lesionado","Pick up","Rojo","Choque"
59,1,"Enero","Domingo",14,"Solola","Sololá","Rural","Ignorado","Hombre","38","Mayor","35-39","Lesionado","Pick up","Rojo","Choque"
60,1,"Enero","Domingo",14,"Solola","Sololá","Rural","Ignorado","Mujer","11","Menor","Menosr de 15","Lesionado","Pick up","Rojo","Choque"
61,2,"Enero","Lunes",22,"Guatemala","Guatemala","Urbano","3","Hombre","22","Mayor","20-24","Lesionado","Automovil","Blanco","Colisiono"
62,2,"Enero","Lunes",22,"Guatemala","Fraijanes","Rural","Ignorado","Hombre","23","Mayor","20-24","Lesionado","Motocicleta","Rojo","Colisiono"
63,2,"Enero","Lunes",13,"Guatemala","Mixco","Urbano","3","Mujer","50","Mayor","50-54","Lesionado","Automovil","Blanco","Colisiono"
64,2,"Enero","Lunes",22,"Guatemala","Mixco","Urbano","4","Hombre","30","Mayor","30-34","Lesionado","Motocicleta","Rojo","Vuelco"
65,2,"Enero","Lunes",22,"Guatemala","Mixco","Urbano","4","Mujer","39","Mayor","35-39","Lesionado","Motocicleta","Rojo","Vuelco"
66,2,"Enero","Lunes",10,"Chiquimula","San Jacinto","Rural","Ignorado","Mujer","22","Mayor","20-24","Lesionado","Pick up","Ignorado","Vuelco"
67,2,"Enero","Lunes",10,"Chiquimula","San Jacinto","Rural","Ignorado","Mujer","21","Mayor","20-24","Lesionado","Pick up","Ignorado","Vuelco"
68,2,"Enero","Lunes",17,"Santa Rosa","Cuilapa","Rural","Ignorado","Hombre","54","Mayor","50-54","Lesionado","Pick up","Negro","Colisiono"
69,2,"Enero","Lunes",17,"Santa Rosa","Cuilapa","Rural","Ignorado","Hombre","21","Mayor","20-24","Lesionado","Microbus","Blanco","Colisiono"
70,2,"Enero","Lunes",17,"Santa Rosa","Cuilapa","Rural","Ignorado","Hombre","21","Mayor","20-24","Lesionado","Microbus","Blanco","Colisiono"
71,2,"Enero","Lunes",22,"Suchitepéquez","Mazatenango","Rural","Ignorado","Hombre","29","Mayor","25-29","Lesionado","Microbus","Azul","Colisiono"
72,2,"Enero","Lunes",7,"Suchitepéquez","Mazatenango","Urbano","1","Hombre","22","Mayor","20-24","Lesionado","Motocicleta","Rojo","Choque"
73,2,"Enero","Lunes",7,"Suchitepéquez","Mazatenango","Urbano","1","Hombre","19","Mayor","15-19","Lesionado","Motocicleta","Rojo","Choque"
74,2,"Enero","Lunes",7,"Suchitepéquez","Mazatenango","Urbano","1","Hombre","27","Mayor","25-29","Lesionado","Motocicleta","Rojo","Choque"
75,2,"Enero","Lunes",21,"Baja Verapaz","San Miguel Chicaj","Rural","Ignorado","Mujer","23","Mayor","20-24","Lesionado","Pick up","Corinto","Vuelco"
76,2,"Enero","Lunes",21,"Baja Verapaz","San Miguel Chicaj","Rural","Ignorado","Mujer","36","Mayor","35-39","Lesionado","Pick up","Corinto","Vuelco"
77,2,"Enero","Lunes",21,"Baja Verapaz","San Miguel Chicaj","Rural","Ignorado","Hombre","23","Mayor","20-24","Lesionado","Pick up","Corinto","Vuelco"
78,2,"Enero","Lunes",21,"Baja Verapaz","San Miguel Chicaj","Rural","Ignorado","Hombre","23","Mayor","20-24","Lesionado","Pick up","Corinto","Vuelco"
79,2,"Enero","Lunes",21,"Baja Verapaz","San Miguel Chicaj","Rural","Ignorado","Hombre","27","Mayor","25-29","Lesionado","Pick up","Corinto","Vuelco"
80,2,"Enero","Lunes",21,"Baja Verapaz","San Miguel Chicaj","Rural","Ignorado","Hombre","21","Mayor","20-24","Lesionado","Pick up","Corinto","Vuelco"
81,2,"Enero","Lunes",21,"Baja Verapaz","San Miguel Chicaj","Rural","Ignorado","Mujer","18","Mayor","15-19","Lesionado","Pick up","Corinto","Vuelco"
82,2,"Enero","Lunes",21,"Baja Verapaz","San Miguel Chicaj","Rural","Ignorado","Hombre","56","Mayor","55 y más","Lesionado","Pick up","Corinto","Vuelco"
83,2,"Enero","Lunes",21,"Baja Verapaz","San Miguel Chicaj","Rural","Ignorado","Hombre","17","Mayor","15-19","Lesionado","Pick up","Corinto","Vuelco"
84,2,"Enero","Lunes",21,"Baja Verapaz","San Miguel Chicaj","Rural","Ignorado","Mujer","36","Mayor","35-39","Lesionado","Pick up","Corinto","Vuelco"
85,2,"Enero","Lunes",22,"El Progreso","Sansare","Rural","Ignorado","Hombre","51","Mayor","50-54","Fallecido","Pick up","Ignorado","Choque"
86,2,"Enero","Lunes",22,"El Progreso","Sansare","Rural","Ignorado","Hombre","28","Mayor","25-29","Fallecido","Pick up","Ignorado","Choque"
87,2,"Enero","Lunes",16,"Solola","Panajachel","Rural","Ignorado","Hombre","56","Mayor","55 y más","Fallecido","Pick up","Corinto","Colisiono"
88,3,"Enero","Martes",19,"Guatemala","Palencia","Rural","Ignorado","Hombre","24","Mayor","20-24","Lesionado","Motocicleta","Rojo","Vuelco"
89,3,"Enero","Martes",19,"Guatemala","Palencia","Rural","Ignorado","Mujer","19","Mayor","15-19","Lesionado","Motocicleta","Rojo","Vuelco"
90,3,"Enero","Martes",6,"Guatemala","Fraijanes","Rural","Ignorado","Mujer","26","Mayor","25-29","Fallecido","Automovil","Verde","Colisiono"
91,3,"Enero","Martes",6,"Guatemala","Fraijanes","Rural","Ignorado","Hombre","33","Mayor","30-34","Fallecido","Camioneta","Café","Colisiono"
92,3,"Enero","Martes",18,"Guatemala","Guatemala","Urbano","10","Mujer","35","Mayor","35-39","Lesionado","Camioneta","Gris","Colisiono"
93,3,"Enero","Martes",9,"Suchitepéquez","Rio Bravo","Rural","Ignorado","Mujer","45","Mayor","45-49","Lesionado","Pick up","Blanco","Colisiono"
94,3,"Enero","Martes",8,"Quiché","Chajul","Rural","Ignorado","Hombre","27","Mayor","25-29","Lesionado","Motocicleta","Ignorado","Colisiono"
95,4,"Enero","Miercoles",16,"Guatemala","Villa Nueva","Rural","Ignorado","Hombre","23","Mayor","20-24","Fallecido","Motocicleta","Corinto","Colisiono"
96,4,"Enero","Miercoles",16,"Guatemala","Villa Nueva","Rural","Ignorado","Hombre","14","Menor","Menosr de 15","Lesionado","Motocicleta","Corinto","Colisiono"
97,4,"Enero","Miercoles",10,"Guatemala","Villa Nueva","Rural","Ignorado","Hombre","44","Mayor","40-44","Lesionado","Pick up","Verde","Choque"
98,4,"Enero","Miercoles",10,"Guatemala","Villa Nueva","Rural","Ignorado","Hombre","16","Menor","15-19","Lesionado","Pick up","Verde","Choque"
99,4,"Enero","Miercoles",10,"Guatemala","Villa Nueva","Rural","Ignorado","Hombre","18","Mayor","15-19","Lesionado","Pick up","Verde","Choque"
100,4,"Enero","Miercoles",19,"Escuintla","Escuintla","Urbano","1","Mujer","21","Mayor","20-24","Lesionado","Motocicleta","Gris","Colisiono"
101,4,"Enero","Miercoles",19,"Escuintla","Escuintla","Urbano","1","Mujer","17","Menor","15-19","Lesionado","Motocicleta","Gris","Colisiono"
102,5,"Enero","Jueves",18,"Guatemala","Guatemala","Urbano","6","Hombre","17","Menor","15-19","Lesionado","Motocicleta","Ignorado","Colisiono"
103,5,"Enero","Jueves",9,"Guatemala","Villa Nueva","Urbano","12","Hombre","20","Mayor","20-24","Lesionado","Motocicleta","Rojo","Colisiono"
104,5,"Enero","Jueves",18,"Izabal","Puerto Barrios","Rural","Ignorado","Hombre","40","Mayor","40-44","Lesionado","Motocicleta","Ignorado","Colisiono"
105,6,"Enero","Viernes",20,"Escuintla","Escuintla","Rural","Ignorado","Hombre","38","Mayor","35-39","Lesionado","Pick up","Blanco","Colisiono"
106,6,"Enero","Viernes",11,"Quiché","Santa Cruz del Quiché","Rural","Ignorado","Mujer","35","Mayor","35-39","Lesionado","Mototaxi","Rojo","Caida"
107,6,"Enero","Viernes",11,"Quiché","Santa Cruz del Quiché","Rural","Ignorado","Mujer","14","Menor","Menosr de 15","Lesionado","Mototaxi","Rojo","Caida"
108,7,"Enero","Sábado",21,"Guatemala","Guatemala","Urbano","1","Hombre","27","Mayor","25-29","Lesionado","Pick up","Negro","Colisiono"
109,7,"Enero","Sábado",21,"Guatemala","Guatemala","Urbano","1","Hombre","22","Mayor","20-24","Lesionado","Pick up","Negro","Colisiono"
110,7,"Enero","Sábado",22,"Guatemala","Guatemala","Urbano","17","Mujer","4","Menor","Menosr de 15","Lesionado","Automovil","Blanco","Colisiono"
111,7,"Enero","Sábado",18,"Jutiapa","Jutiapa","Rural","Ignorado","Hombre","36","Mayor","35-39","Lesionado","Motocicleta","Rojo","Colisiono"
112,7,"Enero","Sábado",20,"Santa Rosa","Barberena","Rural","Ignorado","Hombre","56","Mayor","55 y más","Lesionado","Camión","Blanco","Colisiono"
113,7,"Enero","Sábado",20,"Santa Rosa","Barberena","Rural","Ignorado","Hombre","Ignorado","Mayor","Ignorado","Lesionado","Camioneta","Gris","Colisiono"
114,7,"Enero","Sábado",20,"Santa Rosa","Barberena","Rural","Ignorado","Hombre","Ignorado","Mayor","Ignorado","Lesionado","Camioneta","Gris","Colisiono"
115,7,"Enero","Sábado",11,"Retalhuleu","Retalhuleu","Rural","Ignorado","Hombre","32","Mayor","30-34","Lesionado","Motocicleta","Rojo","Colisiono"
116,7,"Enero","Sábado",13,"El Progreso","Guastatoya","Rural","Ignorado","Hombre","60","Mayor","55 y más","Lesionado","Automovil","Verde","Choque"
117,7,"Enero","Sábado",13,"El Progreso","Guastatoya","Rural","Ignorado","Mujer","57","Mayor","55 y más","Lesionado","Automovil","Verde","Choque"
118,7,"Enero","Sábado",13,"El Progreso","Guastatoya","Rural","Ignorado","Mujer","19","Mayor","15-19","Lesionado","Automovil","Verde","Choque"
119,7,"Enero","Sábado",13,"El Progreso","Guastatoya","Rural","Ignorado","Mujer","27","Mayor","25-29","Lesionado","Automovil","Verde","Choque"
120,7,"Enero","Sábado",13,"El Progreso","Guastatoya","Rural","Ignorado","Hombre","5","Menor","Menosr de 15","Lesionado","Automovil","Verde","Choque"
121,7,"Enero","Sábado",13,"El Progreso","Guastatoya","Rural","Ignorado","Mujer","3","Menor","Menosr de 15","Lesionado","Automovil","Verde","Choque"
122,7,"Enero","Sábado",12,"Sacatepéquez","Antigua Guatemala","Rural","Ignorado","Hombre","32","Mayor","30-34","Lesionado","Automovil","Gris","Colisiono"
123,7,"Enero","Sábado",12,"Sacatepéquez","Antigua Guatemala","Rural","Ignorado","Hombre","51","Mayor","50-54","Lesionado","Camioneta","Blanco","Colisiono"
124,7,"Enero","Sábado",12,"Sacatepéquez","Antigua Guatemala","Rural","Ignorado","Mujer","32","Mayor","30-34","Lesionado","Automovil","Gris","Colisiono"
125,8,"Enero","Domingo",21,"Escuintla","Santa Lucía Cotzumalguapa","Rural","Ignorado","Hombre","25","Mayor","25-29","Lesionado","Motocicleta","Ignorado","Colisiono"
126,8,"Enero","Domingo",21,"Escuintla","Santa Lucía Cotzumalguapa","Rural","Ignorado","Hombre","Ignorado","Mayor","Ignorado","Lesionado","Motocicleta","Ignorado","Colisiono"
127,8,"Enero","Domingo",21,"Escuintla","Santa Lucía Cotzumalguapa","Rural","Ignorado","Hombre","Ignorado","Mayor","Ignorado","Lesionado","Motocicleta","Ignorado","Colisiono"
128,8,"Enero","Domingo",1,"Huehuetenango","Huehuetenango","Rural","Ignorado","Hombre","49","Mayor","45-49","Lesionado","Pick up","Ignorado","Choque"
129,8,"Enero","Domingo",1,"Guatemala","Guatemala","Urbano","12","Mujer","22","Mayor","20-24","Lesionado","Automovil","Ignorado","Choque"
130,8,"Enero","Domingo",16,"Petén","San Andrés","Urbano","Ignorado","Hombre","28","Mayor","25-29","Lesionado","Motocicleta","Ignorado","Choque"
131,8,"Enero","Domingo",16,"Petén","San Andrés","Urbano","Ignorado","Hombre","39","Mayor","35-39","Lesionado","Motocicleta","Ignorado","Choque"
132,9,"Enero","Lunes",0,"Guatemala","Santa Catarina Pinula","Rural","Ignorado","Hombre","22","Mayor","20-24","Fallecido","Motocicleta","Ignorado","Vuelco"
133,9,"Enero","Lunes",11,"Huehuetenango","Cuilco","Rural","Ignorado","Hombre","70","Mayor","55 y más","Lesionado","Pick up","Ignorado","Vuelco"
134,9,"Enero","Lunes",11,"Huehuetenango","Cuilco","Rural","Ignorado","Mujer","60","Mayor","55 y más","Lesionado","Pick up","Ignorado","Vuelco"
135,9,"Enero","Lunes",11,"Huehuetenango","Cuilco","Rural","Ignorado","Hombre","36","Mayor","35-39","Lesionado","Pick up","Ignorado","Vuelco"
136,9,"Enero","Lunes",11,"Huehuetenango","Cuilco","Rural","Ignorado","Hombre","38","Mayor","35-39","Lesionado","Pick up","Ignorado","Vuelco"
137,9,"Enero","Lunes",11,"Huehuetenango","Cuilco","Rural","Ignorado","Hombre","37","Mayor","35-39","Lesionado","Pick up","Ignorado","Vuelco"
138,9,"Enero","Lunes",11,"Huehuetenango","Cuilco","Rural","Ignorado","Hombre","2","Menor","Menosr de 15","Lesionado","Pick up","Ignorado","Vuelco"
139,9,"Enero","Lunes",7,"Solola","San Pedro La Laguna","Rural","Ignorado","Hombre","34","Mayor","30-34","Lesionado","Camión","Anaranjado","Vuelco"
140,9,"Enero","Lunes",5,"Chimaltenango","Patzicía","Rural","Ignorado","Mujer","43","Mayor","40-44","Lesionado","Bus extraurbano","Verde","Vuelco"
141,9,"Enero","Lunes",5,"Chimaltenango","Patzicía","Rural","Ignorado","Mujer","18","Mayor","15-19","Lesionado","Bus extraurbano","Verde","Vuelco"
142,9,"Enero","Lunes",5,"Chimaltenango","Patzicía","Rural","Ignorado","Mujer","9","Menor","Menosr de 15","Lesionado","Bus extraurbano","Verde","Vuelco"
143,9,"Enero","Lunes",5,"Chimaltenango","Patzicía","Rural","Ignorado","Mujer","15","Menor","15-19","Lesionado","Bus extraurbano","Verde","Vuelco"
144,9,"Enero","Lunes",5,"Chimaltenango","Patzicía","Rural","Ignorado","Mujer","14","Menor","Menosr de 15","Lesionado","Bus extraurbano","Verde","Vuelco"
145,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Mujer","16","Menor","15-19","Lesionado","Bus extraurbano","Verde","Vuelco"
146,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Hombre","38","Mayor","35-39","Lesionado","Bus extraurbano","Verde","Vuelco"
147,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Mujer","21","Mayor","20-24","Lesionado","Bus extraurbano","Verde","Vuelco"
148,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Hombre","38","Mayor","35-39","Lesionado","Bus extraurbano","Verde","Vuelco"
149,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Hombre","24","Mayor","20-24","Lesionado","Bus extraurbano","Verde","Vuelco"
150,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Hombre","40","Mayor","40-44","Lesionado","Bus extraurbano","Verde","Vuelco"
151,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Mujer","22","Mayor","20-24","Lesionado","Bus extraurbano","Verde","Vuelco"
152,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Hombre","10","Menor","Menosr de 15","Lesionado","Bus extraurbano","Verde","Vuelco"
153,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Hombre","67","Mayor","55 y más","Lesionado","Bus extraurbano","Verde","Vuelco"
154,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Mujer","53","Mayor","50-54","Lesionado","Bus extraurbano","Verde","Vuelco"
155,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Hombre","39","Mayor","35-39","Lesionado","Bus extraurbano","Verde","Vuelco"
156,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Hombre","11","Menor","Menosr de 15","Lesionado","Bus extraurbano","Verde","Vuelco"
157,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Mujer","6","Menor","Menosr de 15","Lesionado","Bus extraurbano","Verde","Vuelco"
158,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Hombre","47","Mayor","45-49","Lesionado","Bus extraurbano","Verde","Vuelco"
159,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Mujer","21","Mayor","20-24","Lesionado","Bus extraurbano","Verde","Vuelco"
160,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Mujer","14","Menor","Menosr de 15","Lesionado","Bus extraurbano","Verde","Vuelco"
161,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Hombre","32","Mayor","30-34","Lesionado","Bus extraurbano","Verde","Vuelco"
162,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Mujer","20","Mayor","20-24","Lesionado","Bus extraurbano","Verde","Vuelco"
163,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Mujer","41","Mayor","40-44","Lesionado","Bus extraurbano","Verde","Vuelco"
164,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Mujer","17","Menor","15-19","Lesionado","Bus extraurbano","Verde","Vuelco"
165,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Hombre","26","Mayor","25-29","Lesionado","Bus extraurbano","Verde","Vuelco"
166,9,"Enero","Lunes",11,"Sacatepéquez","San Lucas Sacatepéquez","Rural","Ignorado","Mujer","79","Mayor","55 y más","Lesionado","Automovil","Blanco","Vuelco"
167,9,"Enero","Lunes",11,"Sacatepéquez","San Lucas Sacatepéquez","Rural","Ignorado","Mujer","68","Mayor","55 y más","Fallecido","Automovil","Blanco","Vuelco"
168,10,"Enero","Martes",12,"Quetzaltenango","Quetzaltenango","Urbano","1","Hombre","26","Mayor","25-29","Lesionado","Motocicleta","Negro","Colisiono"
