"dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","areag_ocu","zona_ocu","sexo_fall_les","edad_fall_les","g_edad","lesio_fall","tipo_vehi","Causa_acc"
26,"Marzo","Viernes",8,"Guatemala","Urbano",6,"Hombre",1,"Menos 15","Lesionados","Bus extraurbano","Choque, empotro"
4,"Enero","Lunes",17,"Guatemala","Urbano",18,"Hombre",1,"Menos 15","Lesionados","Microbus","Choque, empotro"
15,"Diciembre","Miercoles",20,"Guatemala","Urbano",1,"Mujer",12,"Menos 15","Lesionados","Automovil","Colision"
22,"Agosto","Domingo",17,"Guatemala","Urbano",4,"Hombre",5,"Menos 15","Lesionados","Automovil","Colision"
16,"Mayo","Domingo",16,"Guatemala","Urbano",7,"Hombre",5,"Menos 15","Lesionados","Automovil","Colision"
16,"Mayo","Domingo",16,"Guatemala","Urbano",7,"Mujer",7,"Menos 15","Lesionados","Automovil","Colision"
17,"Marzo","Miercoles",12,"Guatemala","Urbano",12,"Hombre",5,"Menos 15","Lesionados","Automovil","Colision"
17,"Marzo","Miercoles",12,"Guatemala","Urbano",12,"Mujer",7,"Menos 15","Lesionados","Automovil","Colision"
24,"Octubre","Domingo",22,"Guatemala","Urbano",12,"Mujer",8,"Menos 15","Lesionados","Automovil","Colision"
3,"Abril","Sabado",23,"Guatemala","Urbano",12,"Hombre",9,"Menos 15","Lesionados","Automovil","Colision"
24,"Octubre","Domingo",22,"Guatemala","Urbano",12,"Mujer",14,"Menos 15","Lesionados","Automovil","Colision"
10,"Julio","Viernes",10,"Guatemala","Urbano",13,"Mujer",12,"Menos 15","Lesionados","Automovil","Colision"
29,"Diciembre","Miercoles",23,"Guatemala","Urbano",18,"Hombre",5,"Menos 15","Lesionados","Automovil","Colision"
1,"Mayo","Sabado",18,"Guatemala","Urbano",18,"Hombre",12,"Menos 15","Lesionados","Automovil","Colision"
3,"Septiembre","Viernes",7,"Guatemala","Urbano",1,"Hombre",5,"Menos 15","Lesionados","Camioneta","Colision"
23,"Octubre","Sabado",15,"Guatemala","Urbano",7,"Mujer",5,"Menos 15","Lesionados","Camioneta","Colision"
23,"Octubre","Sabado",15,"Guatemala","Urbano",7,"Mujer",9,"Menos 15","Lesionados","Camioneta","Colision"
23,"Octubre","Sabado",15,"Guatemala","Urbano",7,"Hombre",10,"Menos 15","Lesionados","Camioneta","Colision"
6,"Marzo","Sabado",13,"Guatemala","Urbano",1,"Mujer",9,"Menos 15","Lesionados","Pick up","Colision"
6,"Marzo","Sabado",13,"Guatemala","Urbano",1,"Mujer",13,"Menos 15","Lesionados","Pick up","Colision"
7,"Enero","Jueves",13,"Guatemala","Urbano",8,"Mujer",10,"Menos 15","Lesionados","Pick up","Colision"
7,"Enero","Jueves",13,"Guatemala","Urbano",8,"Hombre",13,"Menos 15","Lesionados","Pick up","Colision"
7,"Enero","Jueves",13,"Guatemala","Urbano",8,"Mujer",13,"Menos 15","Lesionados","Pick up","Colision"
7,"Enero","Jueves",13,"Guatemala","Urbano",8,"Mujer",14,"Menos 15","Lesionados","Pick up","Colision"
16,"Mayo","Domingo",11,"Guatemala","Urbano",12,"Hombre",7,"Menos 15","Lesionados","Pick up","Colision"
1,"Mayo","Sabado",20,"Guatemala","Urbano",1,"Mujer",5,"Menos 15","Lesionados","Motocicleta","Colision"
17,"Julio","Sabado",11,"Guatemala","Urbano",1,"Hombre",14,"Menos 15","Lesionados","Motocicleta","Colision"
12,"Diciembre","Domingo",17,"Guatemala","Urbano",7,"Mujer",13,"Menos 15","Lesionados","Motocicleta","Colision"
9,"Abril","Viernes",16,"Guatemala","Urbano",17,"Hombre",5,"Menos 15","Lesionados","Motocicleta","Colision"
9,"Abril","Viernes",16,"Guatemala","Urbano",17,"Mujer",7,"Menos 15","Lesionados","Motocicleta","Colision"
10,"Abril","Sabado",18,"Guatemala","Urbano",19,"Mujer",9,"Menos 15","Lesionados","Motocicleta","Colision"
30,"Diciembre","Jueves",21,"Guatemala","Urbano",6,"Mujer",10,"Menos 15","Lesionados","Taxi","Colision"
17,"Diciembre","Viernes",16,"Guatemala","Urbano",6,"Hombre",12,"Menos 15","Lesionados","Mototaxi","Colision"
24,"Julio","Sabado",19,"Guatemala","Urbano",7,"Hombre",14,"Menos 15","Lesionados","Automovil","Choque, empotro"
5,"Noviembre","Viernes",1,"Guatemala","Urbano",11,"Hombre",8,"Menos 15","Lesionados","Automovil","Choque, empotro"
8,"Diciembre","Miercoles",17,"Guatemala","Urbano",11,"Hombre",13,"Menos 15","Lesionados","Automovil","Choque, empotro"
30,"Abril","Viernes",14,"Guatemala","Urbano",15,"Hombre",10,"Menos 15","Lesionados","Automovil","Choque, empotro"
11,"Diciembre","Sabado",5,"Guatemala","Urbano",12,"Mujer",13,"Menos 15","Lesionados","Camioneta","Choque, empotro"
26,"Marzo","Viernes",8,"Guatemala","Urbano",6,"Mujer",5,"Menos 15","Lesionados","Bus extraurbano","Choque, empotro"
26,"Marzo","Viernes",8,"Guatemala","Urbano",6,"Hombre",6,"Menos 15","Lesionados","Bus extraurbano","Choque, empotro"
13,"Marzo","Sabado",14,"Guatemala","Urbano",13,"Hombre",12,"Menos 15","Lesionados","Pick up","Caida, encuneto, encunetado, embarrancado"
13,"Marzo","Sabado",14,"Guatemala","Urbano",13,"Hombre",13,"Menos 15","Lesionados","Pick up","Caida, encuneto, encunetado, embarrancado"
13,"Marzo","Sabado",14,"Guatemala","Urbano",13,"Hombre",13,"Menos 15","Lesionados","Pick up","Caida, encuneto, encunetado, embarrancado"
4,"Julio","Domingo",12,"Guatemala","Urbano",1,"Hombre",20,"20-24","Lesionados","Automovil","Colision"
1,"Noviembre","Lunes",1,"Guatemala","Urbano",1,"Hombre",16,"15-19","Lesionados","Automovil","Colision"
25,"Marzo","Jueves",13,"Guatemala","Urbano",1,"Mujer",16,"15-19","Lesionados","Automovil","Colision"
17,"Abril","Sabado",0,"Guatemala","Urbano",1,"Hombre",19,"15-19","Fallecidos","Automovil","Colision"
25,"Marzo","Jueves",13,"Guatemala","Urbano",1,"Mujer",19,"15-19","Lesionados","Automovil","Colision"
1,"Noviembre","Lunes",1,"Guatemala","Urbano",1,"Mujer",21,"20-24","Lesionados","Automovil","Colision"
1,"Julio","Jueves",4,"Guatemala","Urbano",1,"Hombre",22,"20-24","Lesionados","Automovil","Colision"
4,"Diciembre","Sabado",23,"Guatemala","Urbano",1,"Mujer",22,"20-24","Lesionados","Automovil","Colision"
1,"Noviembre","Lunes",1,"Guatemala","Urbano",1,"Hombre",23,"20-24","Lesionados","Automovil","Colision"
1,"Julio","Jueves",4,"Guatemala","Urbano",1,"Hombre",23,"20-24","Lesionados","Automovil","Colision"
22,"Noviembre","Lunes",19,"Guatemala","Urbano",1,"Hombre",23,"20-24","Lesionados","Automovil","Colision"
18,"Diciembre","Sabado",22,"Guatemala","Urbano",1,"Mujer",24,"20-24","Lesionados","Automovil","Colision"
1,"Julio","Jueves",4,"Guatemala","Urbano",1,"Hombre",25,"25-29","Lesionados","Automovil","Colision"
14,"Junio","Lunes",17,"Guatemala","Urbano",1,"Hombre",25,"25-29","Lesionados","Automovil","Colision"
1,"Julio","Jueves",4,"Guatemala","Urbano",1,"Hombre",26,"25-29","Lesionados","Automovil","Colision"
30,"Septiembre","Jueves",11,"Guatemala","Urbano",1,"Mujer",28,"25-29","Lesionados","Automovil","Colision"
1,"Julio","Jueves",4,"Guatemala","Urbano",1,"Mujer",29,"25-29","Lesionados","Automovil","Colision"
19,"Octubre","Martes",11,"Guatemala","Urbano",2,"Hombre",20,"20-24","Lesionados","Automovil","Colision"
3,"Diciembre","Viernes",0,"Guatemala","Urbano",2,"Mujer",22,"20-24","Lesionados","Automovil","Colision"
30,"Octubre","Sabado",11,"Guatemala","Urbano",2,"Mujer",23,"20-24","Lesionados","Automovil","Colision"
30,"Junio","Miercoles",16,"Guatemala","Urbano",2,"Mujer",26,"25-29","Lesionados","Automovil","Colision"
23,"Enero","Sabado",21,"Guatemala","Urbano",3,"Hombre",20,"20-24","Lesionados","Automovil","Colision"
23,"Enero","Sabado",21,"Guatemala","Urbano",3,"Hombre",24,"20-24","Lesionados","Automovil","Colision"
22,"Agosto","Domingo",21,"Guatemala","Urbano",3,"Mujer",24,"20-24","Lesionados","Automovil","Colision"
6,"Octubre","Miercoles",21,"Guatemala","Urbano",3,"Hombre",27,"25-29","Lesionados","Automovil","Colision"
23,"Septiembre","Jueves",7,"Guatemala","Urbano",5,"Hombre",20,"20-24","Lesionados","Automovil","Colision"
3,"Septiembre","Viernes",21,"Guatemala","Urbano",5,"Mujer",20,"20-24","Lesionados","Automovil","Colision"
7,"Enero","Jueves",12,"Guatemala","Urbano",5,"Hombre",25,"25-29","Lesionados","Automovil","Colision"
17,"Enero","Domingo",7,"Guatemala","Urbano",5,"Hombre",28,"25-29","Lesionados","Automovil","Colision"
26,"Febrero","Viernes",16,"Guatemala","Urbano",6,"Mujer",15,"15-19","Lesionados","Automovil","Colision"
26,"Febrero","Viernes",16,"Guatemala","Urbano",6,"Mujer",19,"15-19","Lesionados","Automovil","Colision"
19,"Junio","Sabado",13,"Guatemala","Urbano",6,"Hombre",20,"20-24","Lesionados","Automovil","Colision"
7,"Julio","Miercoles",16,"Guatemala","Urbano",6,"Mujer",20,"20-24","Lesionados","Automovil","Colision"
17,"Diciembre","Viernes",1,"Guatemala","Urbano",6,"Mujer",22,"20-24","Lesionados","Automovil","Colision"
17,"Diciembre","Viernes",1,"Guatemala","Urbano",6,"Mujer",24,"20-24","Lesionados","Automovil","Colision"
5,"Noviembre","Viernes",20,"Guatemala","Urbano",6,"Hombre",27,"25-29","Lesionados","Automovil","Colision"
7,"Julio","Miercoles",16,"Guatemala","Urbano",6,"Hombre",28,"25-29","Lesionados","Automovil","Colision"
6,"Febrero","Sabado",10,"Guatemala","Urbano",7,"Hombre",16,"15-19","Lesionados","Automovil","Colision"
14,"Agosto","Sabado",23,"Guatemala","Urbano",7,"Mujer",18,"15-19","Lesionados","Automovil","Colision"
16,"Mayo","Domingo",16,"Guatemala","Urbano",7,"Mujer",21,"20-24","Lesionados","Automovil","Colision"
14,"Agosto","Sabado",23,"Guatemala","Urbano",7,"Mujer",22,"20-24","Lesionados","Automovil","Colision"
5,"Julio","Lunes",20,"Guatemala","Urbano",7,"Mujer",27,"25-29","Lesionados","Automovil","Colision"
13,"Marzo","Sabado",2,"Guatemala","Urbano",7,"Hombre",28,"25-29","Lesionados","Automovil","Colision"
2,"Junio","Miercoles",23,"Guatemala","Urbano",8,"Hombre",21,"20-24","Lesionados","Automovil","Colision"
2,"Junio","Miercoles",23,"Guatemala","Urbano",8,"Hombre",27,"25-29","Fallecidos","Automovil","Colision"
18,"Diciembre","Sabado",5,"Guatemala","Urbano",9,"Hombre",28,"25-29","Lesionados","Automovil","Colision"
30,"Octubre","Sabado",22,"Guatemala","Urbano",10,"Hombre",16,"15-19","Lesionados","Automovil","Colision"
13,"Septiembre","Lunes",20,"Guatemala","Urbano",10,"Mujer",21,"20-24","Lesionados","Automovil","Colision"
28,"Octubre","Jueves",23,"Guatemala","Urbano",10,"Mujer",23,"20-24","Lesionados","Automovil","Colision"
6,"Noviembre","Sabado",1,"Guatemala","Urbano",10,"Hombre",25,"25-29","Fallecidos","Automovil","Colision"
21,"Noviembre","Domingo",3,"Guatemala","Urbano",10,"Hombre",26,"25-29","Lesionados","Automovil","Colision"
8,"Abril","Jueves",9,"Guatemala","Urbano",10,"Hombre",26,"25-29","Fallecidos","Automovil","Colision"
20,"Octubre","Miercoles",23,"Guatemala","Urbano",11,"Hombre",18,"15-19","Lesionados","Automovil","Colision"
9,"Marzo","Martes",8,"Guatemala","Urbano",11,"Hombre",19,"15-19","Lesionados","Automovil","Colision"
19,"Abril","Lunes",21,"Guatemala","Urbano",11,"Hombre",22,"20-24","Lesionados","Automovil","Colision"
7,"Julio","Miercoles",23,"Guatemala","Urbano",11,"Hombre",26,"25-29","Lesionados","Automovil","Colision"
25,"Julio","Domingo",1,"Guatemala","Urbano",11,"Hombre",28,"25-29","Lesionados","Automovil","Colision"
25,"Julio","Domingo",1,"Guatemala","Urbano",11,"Hombre",29,"25-29","Lesionados","Automovil","Colision"
3,"Abril","Sabado",23,"Guatemala","Urbano",12,"Mujer",19,"15-19","Lesionados","Automovil","Colision"
21,"Julio","Miercoles",17,"Guatemala","Urbano",12,"Hombre",20,"20-24","Lesionados","Automovil","Colision"
3,"Abril","Sabado",23,"Guatemala","Urbano",12,"Hombre",20,"20-24","Lesionados","Automovil","Colision"
3,"Abril","Sabado",23,"Guatemala","Urbano",12,"Hombre",20,"20-24","Lesionados","Automovil","Colision"
20,"Marzo","Sabado",12,"Guatemala","Urbano",12,"Hombre",21,"20-24","Lesionados","Automovil","Colision"
17,"Marzo","Miercoles",12,"Guatemala","Urbano",12,"Mujer",23,"20-24","Lesionados","Automovil","Colision"
17,"Marzo","Miercoles",12,"Guatemala","Urbano",12,"Mujer",24,"20-24","Lesionados","Automovil","Colision"
3,"Abril","Sabado",23,"Guatemala","Urbano",12,"Hombre",24,"20-24","Lesionados","Automovil","Colision"
30,"Mayo","Domingo",18,"Guatemala","Urbano",12,"Mujer",25,"25-29","Lesionados","Automovil","Colision"
2,"Diciembre","Jueves",6,"Guatemala","Urbano",12,"Hombre",27,"25-29","Lesionados","Automovil","Colision"
7,"Marzo","Domingo",2,"Guatemala","Urbano",12,"Hombre",28,"25-29","Lesionados","Automovil","Colision"
29,"Marzo","Lunes",19,"Guatemala","Urbano",13,"Hombre",18,"15-19","Lesionados","Automovil","Colision"
21,"Noviembre","Domingo",21,"Guatemala","Urbano",13,"Hombre",19,"15-19","Lesionados","Automovil","Colision"
16,"Diciembre","Jueves",23,"Guatemala","Urbano",13,"Mujer",21,"20-24","Lesionados","Automovil","Colision"
1,"Julio","Jueves",1,"Guatemala","Urbano",13,"Hombre",23,"20-24","Lesionados","Automovil","Colision"
1,"Julio","Jueves",1,"Guatemala","Urbano",13,"Hombre",23,"20-24","Lesionados","Automovil","Colision"
3,"Septiembre","Viernes",21,"Guatemala","Urbano",15,"Mujer",20,"20-24","Lesionados","Automovil","Colision"
17,"Abril","Sabado",21,"Guatemala","Urbano",15,"Mujer",22,"20-24","Lesionados","Automovil","Colision"
9,"Junio","Miercoles",5,"Guatemala","Urbano",15,"Mujer",25,"25-29","Lesionados","Automovil","Colision"
3,"Septiembre","Viernes",21,"Guatemala","Urbano",15,"Hombre",25,"25-29","Lesionados","Automovil","Colision"
23,"Enero","Sabado",17,"Guatemala","Urbano",15,"Hombre",28,"25-29","Fallecidos","Automovil","Colision"
23,"Abril","Viernes",15,"Guatemala","Urbano",16,"Mujer",19,"15-19","Lesionados","Automovil","Colision"
23,"Abril","Viernes",15,"Guatemala","Urbano",16,"Hombre",29,"25-29","Lesionados","Automovil","Colision"
24,"Abril","Sabado",20,"Guatemala","Urbano",17,"Hombre",18,"15-19","Lesionados","Automovil","Colision"
1,"Mayo","Sabado",18,"Guatemala","Urbano",18,"Hombre",15,"15-19","Lesionados","Automovil","Colision"
22,"Noviembre","Lunes",14,"Guatemala","Urbano",18,"Mujer",16,"15-19","Lesionados","Automovil","Colision"
11,"Julio","Domingo",20,"Guatemala","Urbano",18,"Mujer",21,"20-24","Lesionados","Automovil","Colision"
28,"Agosto","Sabado",17,"Guatemala","Urbano",18,"Mujer",22,"20-24","Lesionados","Automovil","Colision"
29,"Diciembre","Miercoles",23,"Guatemala","Urbano",18,"Mujer",24,"20-24","Lesionados","Automovil","Colision"
12,"Julio","Lunes",17,"Guatemala","Urbano",18,"Hombre",26,"25-29","Lesionados","Automovil","Colision"
29,"Diciembre","Miercoles",23,"Guatemala","Urbano",18,"Mujer",26,"25-29","Lesionados","Automovil","Colision"
20,"Marzo","Sabado",23,"Guatemala","Urbano",18,"Hombre",28,"25-29","Lesionados","Automovil","Colision"
5,"Mayo","Miercoles",1,"Guatemala","Urbano",19,"Hombre",16,"15-19","Lesionados","Automovil","Colision"
5,"Mayo","Miercoles",1,"Guatemala","Urbano",19,"Hombre",17,"15-19","Lesionados","Automovil","Colision"
5,"Mayo","Miercoles",1,"Guatemala","Urbano",19,"Hombre",24,"20-24","Lesionados","Automovil","Colision"
5,"Mayo","Miercoles",1,"Guatemala","Urbano",19,"Hombre",25,"25-29","Lesionados","Automovil","Colision"
21,"Abril","Miercoles",21,"Guatemala","Rural",25,"Hombre",27,"25-29","Lesionados","Automovil","Colision"
28,"Noviembre","Domingo",1,"Guatemala","Rural",99,"Hombre",18,"15-19","Lesionados","Automovil","Colision"
6,"Agosto","Viernes",0,"Guatemala","Urbano",1,"Mujer",19,"15-19","Lesionados","Camioneta","Colision"
30,"Junio","Miercoles",23,"Guatemala","Urbano",1,"Hombre",19,"15-19","Lesionados","Camioneta","Colision"
6,"Agosto","Viernes",0,"Guatemala","Urbano",1,"Mujer",21,"20-24","Lesionados","Camioneta","Colision"
6,"Agosto","Viernes",0,"Guatemala","Urbano",1,"Hombre",24,"20-24","Lesionados","Camioneta","Colision"
6,"Octubre","Miercoles",21,"Guatemala","Urbano",3,"Mujer",22,"20-24","Lesionados","Camioneta","Colision"
6,"Octubre","Miercoles",21,"Guatemala","Urbano",3,"Hombre",24,"20-24","Lesionados","Camioneta","Colision"
5,"Abril","Lunes",16,"Guatemala","Urbano",8,"Hombre",25,"25-29","Lesionados","Camioneta","Colision"
17,"Julio","Sabado",18,"Guatemala","Urbano",9,"Hombre",25,"25-29","Lesionados","Camioneta","Colision"
17,"Julio","Sabado",18,"Guatemala","Urbano",9,"Mujer",25,"25-29","Lesionados","Camioneta","Colision"
17,"Julio","Sabado",18,"Guatemala","Urbano",9,"Hombre",25,"25-29","Lesionados","Camioneta","Colision"
29,"Abril","Jueves",21,"Guatemala","Urbano",10,"Hombre",25,"25-29","Fallecidos","Camioneta","Colision"
22,"Agosto","Domingo",23,"Guatemala","Urbano",10,"Hombre",29,"25-29","Lesionados","Camioneta","Colision"
21,"Julio","Miercoles",17,"Guatemala","Urbano",12,"Hombre",20,"20-24","Lesionados","Camioneta","Colision"
6,"Marzo","Sabado",11,"Guatemala","Urbano",12,"Mujer",28,"25-29","Lesionados","Camioneta","Colision"
23,"Enero","Sabado",17,"Guatemala","Urbano",15,"Mujer",20,"20-24","Lesionados","Camioneta","Colision"
23,"Enero","Sabado",17,"Guatemala","Urbano",15,"Hombre",23,"20-24","Lesionados","Camioneta","Colision"
6,"Marzo","Sabado",13,"Guatemala","Urbano",1,"Hombre",15,"15-19","Lesionados","Pick up","Colision"
11,"Abril","Domingo",8,"Guatemala","Urbano",1,"Hombre",22,"20-24","Lesionados","Pick up","Colision"
18,"Septiembre","Sabado",22,"Guatemala","Urbano",1,"Hombre",23,"20-24","Lesionados","Pick up","Colision"
18,"Septiembre","Sabado",22,"Guatemala","Urbano",1,"Hombre",23,"20-24","Lesionados","Pick up","Colision"
8,"Mayo","Sabado",7,"Guatemala","Urbano",1,"Hombre",24,"20-24","Lesionados","Pick up","Colision"
21,"Febrero","Domingo",20,"Guatemala","Urbano",1,"Hombre",28,"25-29","Lesionados","Pick up","Colision"
19,"Julio","Lunes",13,"Guatemala","Urbano",2,"Hombre",29,"25-29","Lesionados","Pick up","Colision"
19,"Julio","Lunes",13,"Guatemala","Urbano",2,"Hombre",29,"25-29","Lesionados","Pick up","Colision"
1,"Noviembre","Lunes",22,"Guatemala","Urbano",3,"Hombre",16,"15-19","Lesionados","Pick up","Colision"
1,"Noviembre","Lunes",22,"Guatemala","Urbano",3,"Mujer",19,"15-19","Lesionados","Pick up","Colision"
1,"Noviembre","Lunes",22,"Guatemala","Urbano",3,"Mujer",20,"20-24","Lesionados","Pick up","Colision"
1,"Noviembre","Lunes",22,"Guatemala","Urbano",3,"Hombre",23,"20-24","Lesionados","Pick up","Colision"
1,"Noviembre","Lunes",22,"Guatemala","Urbano",3,"Mujer",28,"25-29","Lesionados","Pick up","Colision"
1,"Noviembre","Lunes",22,"Guatemala","Urbano",3,"Mujer",28,"25-29","Lesionados","Pick up","Colision"
24,"Agosto","Martes",20,"Guatemala","Urbano",4,"Hombre",21,"20-24","Lesionados","Pick up","Colision"
4,"Octubre","Lunes",10,"Guatemala","Urbano",5,"Hombre",29,"25-29","Lesionados","Pick up","Colision"
4,"Octubre","Lunes",10,"Guatemala","Urbano",5,"Hombre",29,"25-29","Lesionados","Pick up","Colision"
7,"Enero","Jueves",13,"Guatemala","Urbano",8,"Hombre",20,"20-24","Lesionados","Pick up","Colision"
7,"Enero","Jueves",13,"Guatemala","Urbano",8,"Mujer",22,"20-24","Lesionados","Pick up","Colision"
2,"Agosto","Lunes",18,"Guatemala","Urbano",8,"Hombre",22,"20-24","Lesionados","Pick up","Colision"
3,"Septiembre","Viernes",1,"Guatemala","Urbano",10,"Hombre",25,"25-29","Lesionados","Pick up","Colision"
